1.000000,3.000000
1.150000,3.100000
1.300000,3.200000
1.450000,3.300000
1.600000,3.400000
1.750000,3.500000
1.900000,3.600000
2.050000,3.700000
2.200000,3.800000
2.350000,3.900000
2.500000,4.000000
2.650000,4.100000
2.800000,4.200000
2.950000,4.300000
3.100000,4.400000
3.250000,4.500000
3.400000,4.600000
3.550000,4.700000
3.700000,4.800000
3.850000,4.900000
4.000000,5.000000
-3.500000,0.000000
-3.275000,0.150000
-3.050000,0.300000
-2.825000,0.450000
-2.600000,0.600000
-2.375000,0.750000
-2.150000,0.900000
-1.925000,1.050000
-1.700000,1.200000
-1.475000,1.350000
-1.250000,1.500000
-1.025000,1.650000
-0.800000,1.800000
-0.575000,1.950000
-0.350000,2.100000
-0.125000,2.250000
0.100000,2.400000
0.325000,2.550000
0.550000,2.700000
0.775000,2.850000
1.000000,3.000000
